Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
010-1886,10,"Medical imaging apparatus for use in the field of {indicate, e.g., iridology, sclerology, etc.} incorporating recorded software for {indicate function or purpose of software}",A,04/16/2020,GOODS,,,"""11-2020"""
010-1889,10,"Medical diagnostic apparatus for testing {specify condition or subject matter tested, e.g., blood sugar levels, cancer cells, DNA, etc.} incorporating recorded operating system software",A,04/16/2020,GOODS,,,"""11-2020"""
028-4345,28,Balancing bird toys,A,04/16/2020,GOODS,"Balancing bird toys are bird-shaped educational toys designed to have a center of gravity in the beak, permitting the toy to be balanced on objects by the beak",T,"""11-2020"""
009-5776,9,Image intensifier tubes,A,04/16/2020,GOODS,Image intensifier tubes are a type of vacuum tube used mainly in high-frequency applications,T,"""11-2020"""
009-5779,9,Sunglasses for pets,A,04/16/2020,GOODS,"Sunglasses is acceptable wording; further specification is acceptable, but it is not required.",T,"""11-2020"""
009-5781,9,Water temperature gauges,A,04/16/2020,GOODS,,T,"""11-2020"""
028-4351,28,Exercise pulleys,A,04/16/2020,GOODS,,T,"""11-2020"""
028-4352,28,Automobile engine models being toys,A,04/16/2020,GOODS,,T,"""11-2020"""
028-4353,28,Remote-controlled submarines being toys,A,04/16/2020,GOODS,,T,"""11-2020"""
009-5783,9,Magnetic clip-on sunglass lenses,A,04/16/2020,GOODS,,T,"""11-2020"""
029-1893,29,Pork jerky,A,04/16/2020,GOODS,,T,"""11-2020"""
010-1881,10,"Medical devices for use in treating or diagnosing {specify disease or condition} with integrated recorded operating system software, sold as a unit",A,04/16/2020,GOODS,,,"""11-2020"""
010-1222,10,"Software for use in calculating, transferring and storing data relating to the diagnosis and treatment of eye disorders, sold as a component of an ophthalmic surgical apparatus",D,04/16/2020,GOODS,"On 04-16-2020, this 11-18-2010 entry was deleted in compliance with Nice 11-2019. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2020"""
010-1078,10,Medical imaging apparatus incorporating medical imaging software,D,04/16/2020,GOODS,"On 04-16-2020, this 05-27-2010 entry was deleted in compliance with Nice 11-2019. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2020"""
010-1884,10,"Medical imaging apparatus for {indicate medical use, e.g., diagnosing medical conditions, use in surgical procedures, etc.} incorporating recorded software for {indicate function or purpose of software}",A,04/16/2020,GOODS,,,"""11-2020"""
010-1885,10,"Medical imaging apparatus for {indicate medical use, e.g., diagnosing medical conditions, use in surgical procedures, etc.} incorporating recorded operating system software",A,04/16/2020,GOODS,,,"""11-2020"""
010-1887,10,"Medical imaging apparatus for use in the field of {indicate, e.g., iridology, sclerology, etc.} incorporating recorded operating system software",A,04/16/2020,GOODS,,,"""11-2020"""
009-3222,9,Medical workstation comprised of computer hardware and software for gathering and transmitting patient image data for use during surgical procedures,D,05/30/2019,GOODS,"On 05-30-2019, this 10-16-2008 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-4372,9,Simulators for the steering and control of vehicles [computer hardware and software],D,05/30/2019,GOODS,"02-21-2013 - Simulators for the steering and control of vehicles is in the Nice Alphabetical List, and the bracketed wording clarifies the nature of the goods and the justification for classifying the simulators in Class 9. On 05-30-2019, this 02-21-2013 entry was deleted because it is covered by the existing Manual entry ""Simulators for the steering and control of vehicles"" in Class 9.",,"""11-2019"""
009-4378,9,Baseball and softball training apparatus using sensors and software to analyze bat swings and electronically display results,D,05/30/2019,GOODS,"On 02-28-2013, the 10-01-1994 entry was modified by deleting ""used {indicate specific purpose},"" inserting ""using sensors and software to analyze bat swings and electronically display results,"" and transferred to Class 9. General descriptions of sports training devices are indefinite and must provide sufficient information about the function and/or purpose of the goods to support classification in Class 9 as electronic or computer software-based training apparatus or Class 28 as sporting articles. On 05-30-2019, this 02-28-2013 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-5309,9,"Sports training apparatus featuring electronic sensors and software to analyze {indicate what the apparatus analyzes, e.g., muscle contractions, running speed, bat swings, etc.}, and electronically display results",D,05/30/2019,GOODS,"On 05-30-2019, this 04-19-2018 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-3235,9,Turbine control systems comprising electronic sensors and related software,D,05/30/2019,GOODS,"On 05-30-2019, this 11-06-2008 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-3555,9,"Vehicle detection equipment, namely, display monitors, computers, image sensors, video cameras, and operating system and application software to detect vehicle location",D,05/30/2019,GOODS,"On 05-30-2019, this 11-12-2009 entry was deleted because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable. This entry was replaced by ""Vehicle location detection system comprised primarily of display monitors, computers, image sensors, and video cameras"" in Class 9.",,"""11-2019"""
009-3134,9,"Free-space optics transmission systems, Ethernet switches and routers, and software sold both as components thereof and separately, namely, software adapted and arranged for operating, installing, testing, diagnosing and managing the forgoing telecommunication equipment",D,05/30/2019,GOODS,"08-29-2013: Entry status changed from ""A"" added to ""X"" example. On 05-30-2019, this 06-12-2008 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the computer software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable. See similar entry ""Downloadable free-space optical communication (FSO) software for {indicate the function of the software, e.g., providing fast communication links in remote locations, delivering broadband communications, etc.}"" in Class 9.",,"""11-2019"""
010-1789,10,Supports for flat feet,A,05/30/2019,GOODS,,T,"""11-2019"""
010-1790,10,Suspensory bandages,A,05/30/2019,GOODS,,T,"""11-2019"""
029-1801,29,"Spanish mackerel, not live",A,05/30/2019,GOODS,,T,"""11-2019"""
031-946,31,"Capelin, live",A,05/30/2019,GOODS,,T,"""11-2019"""
